n,lang,test,time
80000,py,testDiv,0.0036258697509765625
80000,c,testMinus,0.000088
80000,java,testMinus,0.000688
80000,js,testMinus,0.003887
80000,php,testMinus,0.0018198490142822
80000,py,testMinus,0.0037467479705810547
80000,c,testProd,0.000094
80000,java,testProd,0.000816
80000,js,testProd,2.241173
80000,php,testProd,0.0019791126251221
80000,py,testProd,0.003762483596801758
80000,c,testSum,0.000088
80000,java,testSum,0.000816
80000,js,testSum,1.80522
80000,php,testSum,0.0017280578613281
80000,py,testSum,0.0037038326263427734
85000,c,testCmp,0.000099
85000,java,testCmp,0.002103
85000,js,testCmp,2.247148
85000,php,testCmp,0.0025639533996582
