n,lang,test,time
25000,java,testCat,0.030214
25000,js,testCat,0.844678
25000,php,testCat,0.00093579292297363
25000,py,testCat,0.0016789436340332031
25000,c,testCmp,0.000058
25000,java,testCmp,0.001436
25000,js,testCmp,0.769994
25000,php,testCmp,0.00072908401489258
25000,py,testCmp,0.0009593963623046875
25000,c,testCpy,0.000235
25000,java,testCpy,0.000765
25000,js,testCpy,0.565223
25000,php,testCpy,0.0010669231414795
25000,py,testCpy,0.000385284423828125
25000,c,testLen,0.000085
25000,java,testLen,0.001654
25000,js,testLen,0.480605
25000,php,testLen,0.00099897384643555
25000,py,testLen,0.0009336471557617188
30000,c,testCat,0.000249
30000,java,testCat,0.031248
30000,js,testCat,1.635737
30000,php,testCat,0.001060962677002
30000,py,testCat,0.001947164535522461
30000,c,testCmp,0.000069
30000,java,testCmp,0.001812
30000,js,testCmp,0.665268
30000,php,testCmp,0.00080585479736328
30000,py,testCmp,0.0013022422790527344
30000,c,testCpy,0.000282
30000,java,testCpy,0.001059
30000,js,testCpy,0.735249
30000,php,testCpy,0.0012569427490234
30000,py,testCpy,0.00046324729919433594
30000,c,testLen,0.000116
30000,java,testLen,0.001888
30000,js,testLen,0.641285
30000,php,testLen,0.0013091564178467
30000,py,testLen,0.0011599063873291016
